id,eventid,iyear,imonth,iday,extended,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,doubtterr,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,target1,natlty1,natlty1_txt,gname,guncertain1,individual,weaptype1,weaptype1_txt,nkill,property,ishostkid,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY
143172,201501200042,2015,1,20,0,60,Egypt,10,Middle East & North Africa,North Sinai,At Tumah,31.169829999999997,34.087421,1.0,0,1,1,0,1.0,0.0,1,0,3,Bombing/Explosion,4,Military,35.0,Military Transportation/Vehicle (excluding convoys),Armored Vehicle,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,1,0.0,START Primary Collection,-9,-9,0,-9
143253,201501210082,2015,1,21,0,60,Egypt,10,Middle East & North Africa,North Sinai,Sheikh Zuweid district,31.211645,34.110425,3.0,0,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,4,Military,35.0,Military Transportation/Vehicle (excluding convoys),Vehicles,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143254,201501210083,2015,1,21,0,60,Egypt,10,Middle East & North Africa,North Sinai,Sheikh Zuweid,31.212225,34.117065000000004,1.0,0,1,1,1,0.0,0.0,1,0,2,Armed Assault,3,Police,22.0,"Police Building (headquarters, station, school)",Police Station,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143259,201501220012,2015,1,22,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,2,Government (General),17.0,Head of State,Presidential Palace,60.0,Egypt,Ajnad Misr,0.0,0,6,Explosives,0.0,-9,0.0,START Primary Collection,0,0,0,0
143265,201501220023,2015,1,22,0,60,Egypt,10,Middle East & North Africa,Cairo,Helwan,29.831976,31.337257,1.0,0,1,1,1,0.0,0.0,0,0,1,Assassination,2,Government (General),14.0,Judge/Attorney/Court,House of Judge: Khaled Mahgoub,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,1,0.0,START Primary Collection,-9,-9,0,-9
143298,201501230012,2015,1,23,0,60,Egypt,10,Middle East & North Africa,Faiyum,Faiyum district,29.31053,30.842290000000002,3.0,0,1,1,1,0.0,0.0,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Convoy of Governor: Hazem Atteya-Allah,60.0,Egypt,Unknown,0.0,0,5,Firearms,0.0,1,0.0,START Primary Collection,-9,-9,0,-9
143299,201501230013,2015,1,23,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,3,Police,23.0,Police Patrol (including vehicles and convoys),Vehicle,60.0,Egypt,Ajnad Misr,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,0,0,0,0
143327,201501230076,2015,1,23,0,60,Egypt,10,Middle East & North Africa,North Sinai,Arish,31.126646,33.800865,1.0,0,1,1,0,1.0,0.0,1,0,2,Armed Assault,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Soldier,60.0,Egypt,Unknown,0.0,0,5,Firearms,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143330,201501240003,2015,1,24,0,60,Egypt,10,Middle East & North Africa,Faiyum,Faiyum district,29.311899,30.842972999999997,3.0,0,1,1,1,0.0,0.0,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",House of Governor: Hazem Atteya-Allah,60.0,Egypt,Unknown,0.0,0,5,Firearms,2.0,0,0.0,START Primary Collection,-9,-9,0,-9
143355,201501240066,2015,1,24,0,60,Egypt,10,Middle East & North Africa,Al Sharqia,Zagazig,30.576442,31.503931,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,19,Transportation,100.0,Train/Train Tracks/Trolley,Railway Bridge,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,1,0.0,START Primary Collection,-9,-9,0,-9
143369,201501240095,2015,1,24,0,60,Egypt,10,Middle East & North Africa,North Sinai,Rafah,31.250196000000003,34.241279999999996,1.0,1,1,1,1,0.0,0.0,0,0,3,Bombing/Explosion,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Forces,60.0,Egypt,Unknown,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,-9,-9,0,-9
143395,201501250019,2015,1,25,0,60,Egypt,10,Middle East & North Africa,Beheira,Unknown,30.848098999999998,30.343551,4.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,21,Utilities,107.0,Electricity,Power Tower,60.0,Egypt,Unknown,0.0,0,6,Explosives,2.0,-9,0.0,START Primary Collection,-9,-9,0,-9
143396,201501250020,2015,1,25,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,3,Police,25.0,Police Security Forces/Officers,Officer,60.0,Egypt,Ajnad Misr,0.0,0,6,Explosives,0.0,0,0.0,START Primary Collection,0,0,0,0
143397,201501250021,2015,1,25,0,60,Egypt,10,Middle East & North Africa,Cairo,Cairo,30.084629,31.334314000000003,1.0,0,1,1,1,0.0,0.0,1,0,3,Bombing/Explosion,3,Police,25.0,Police Security Forces/Officers,Officers,60.0,Egypt,Ajnad Misr,0.0,0,6,Explosives,0.0,-9,0.0,START Primary Collection,0,0,0,0
